Nombre Municipio,Departamento,Tipo de Nombre,Significado
Alcalá,Valle del Cauca,Origen Europeo,Nombrado por Alcalá de Henares en España  
Zaragoza,Antioquia,Origen Europeo,Nombrado por la ciudad de Zaragoza en Aragón  España 
Cartagena,Bolívar,Origen Europeo,Diferenciarla de Cartagena en España  inspiración fenicia 
Cartagena del Chairá,Caquetá,Origen Europeo,Evoca Cartagena de Indias y laguna Chairá  
Granada,Antioquia,Origen Europeo,En honor a Granada  España 
Granada,Cundinamarca,Origen Europeo,En honor a Granada  España 
Granada,Meta,Origen Europeo,Nombra original Nueva Granada  en honor a Granada España 
Nueva Granada,Magdalena,Origen Europeo,En homenaje a Granada  España 
Tenerife,Magdalena,Origen Europeo,Por Tenerife  Islas Canarias España 
Algeciras,Huila,Origen Europeo,En homenaje a Algeciras  España 
Alpujarra,Tolima,Origen Europeo,En homenaje a La Alpujarra  Andalucía España 
Almaguer,Cauca,Origen Europeo,En homenaje a Corral de Almaguer  España 
Teruel,Huila,Origen Europeo,En homenaje a Teruel  Aragón España 
Andalucía,Valle del Cauca,Origen Europeo,En homenaje a la región Andalucía  España 
Castilla la Nueva,Meta,Origen Europeo,En homenaje a Castilla-La Mancha  España 
Málaga,Santander,Origen Europeo,En homenaje a Málaga  Andalucía España 
Sevilla,Valle del Cauca,Origen Europeo,En homenaje a Sevilla  Andalucía España 
Toledo,Antioquia,Origen Europeo,Nombrado por Toledo  España 
Toledo,Norte de Santander,Origen Europeo,Nombrado por Toledo  España 
Ocaña,Norte de Santander,Origen Europeo,Nombrado por Ocaña  España 
Pamplona,Norte de Santander,Origen Europeo,Nombrado por Pamplona  España 
Valencia,Córdoba,Origen Europeo,Inspirado por la canción sobre Valencia  España 
Cáceres,Antioquia,Origen Europeo,Por Cáceres en Extremadura  España 
Segovia,Antioquia,Origen Europeo,Por Segovia  Castilla y León España 
Sopetrán,Antioquia,Origen Religioso,Por el monasterio y Virgen de Sopetrán en Guadalajara  España 
Becerril,Cesar,Origen Europeo,Por Becerril de Campos  España 
Medina,Cundinamarca,Origen Europeo,Probable referencia a Medina del Campo o Medina Sidonia  España 
Coveñas,Sucre,Origen Europeo,Por hacienda que deriva de Cobeña  Madrid España 
Lérida,Tolima,Origen Europeo,Por Lérida  España 
Manzanares,Caldas,Origen Europeo,Por Manzanares  España 
Sahagún,Córdoba,Origen Europeo,Por Sahagún  España 
Támara,Casanare,Origen Europeo,Por Támara  España 
Toro,Valle del Cauca,Origen Europeo,Por Toro  España 
Vélez,Santander,Origen Europeo,Por Vélez  España 
Miraflores,Boyacá,Origen Europeo,Por Miraflores  España 
Miraflores,Guaviare,Origen Europeo,Por Miraflores  España 
Armenia,Quindío,Origen Europeo,Homenaje al país Armenia y a la masacre armenia  
Armenia,Antioquia,Origen Europeo,Homenaje al país Armenia y a la masacre armenia  
Líbano,Tolima,Origen Europeo,En referencia al país Líbano  
Montelíbano,Córdoba,Origen Europeo,En referencia al país Líbano  
Palestina,Caldas,Origen Europeo,En referencia a la región de Palestina  
Palestina,Huila,Origen Europeo,En referencia a la región de Palestina  
Útica,Cundinamarca,Origen Europeo,Por ciudad romana Utica en actual Túnez  
Salamina,Caldas,Origen Europeo,Por isla/griega y batalla de Salamina (Grecia)  
Salamina,Magdalena,Origen Europeo,Por isla/griega y batalla de Salamina (Grecia)  
Tesalia,Huila,Origen Europeo,Por Tesalia  Grecia 
La Tebaida,Quindío,Origen Europeo,"Por región mencionada en clásico latino (""Tebaida"" de Estacio)  "
Alejandría,Antioquia,Origen Europeo,Por Alejandría  Egipto 
El Cairo,Valle del Cauca,Origen Europeo,Por El Cairo  Egipto 
Nilo,Cundinamarca,Origen Europeo,Inspirado por el río Nilo  Egipto 
Argelia,Antioquia,Origen Europeo,Por Argelia  país del norte de África 
Argelia,Cauca,Origen Europeo,Por Argelia  país del norte de África 
Argelia,Valle del Cauca,Origen Europeo,Por Argelia  país del norte de África 
Aquitania,Boyacá,Origen Europeo,Por región francesa de Aquitania  
Flandes,Tolima,Origen Europeo,Por región de Flandes (hoy Bélgica/Francia)  
Roncesvalles,Tolima,Origen Europeo,Por Roncesvalles  Francia 
Marsella,Risaralda,Origen Europeo,Por Marsella  Francia 
Versalles,Valle del Cauca,Origen Europeo,Por Versalles  Francia 
Támesis,Antioquia,Origen Europeo,Por río Támesis  Inglaterra 
Ginebra,Valle del Cauca,Origen Europeo,Por Ginebra  Suiza 
California,Santander,Origen Europeo,Por estado de California  Estados Unidos 
Filadelfia,Caldas,Origen Europeo,Por ciudad Filadelfia  Estados Unidos 
Pensilvania,Caldas,Origen Europeo,Por estado de Pensilvania  Estados Unidos 
Monterrey,Casanare,Origen Europeo,Por Monterrey  México 
Tasco,Boyacá,Origen Europeo,Por Tasco  México 
Morelia,Caquetá,Origen Europeo,Por Morelia  México 
Cajamarca,Tolima,Origen Europeo,Por ciudad Cajamarca  Perú 
Junín,Cundinamarca,Origen Europeo,Por región/batalla Junín  Perú 
Valparaíso,Antioquia,Origen Europeo,Por ciudad Valparaíso  Chile 
Valparaíso,Caquetá,Origen Europeo,Por ciudad Valparaíso  Chile 
Copacabana,Antioquia,Origen Europeo,Por la ciudad de Copacabana en Bolivia  
La Argentina,Huila,Origen Europeo,En referencia al país Argentina  
Potosí,Nariño,Origen Europeo,Por la ciudad de Potosí en Bolivia  
Florencia,Caquetá,Origen Europeo,En honor a Florencia  Italia 
Florencia,Cauca,Origen Europeo,En honor a Florencia  Italia 
Venecia,Antioquia,Origen Europeo,Nombrado por la ciudad de Venecia  Italia 
Venecia,Cundinamarca,Origen Europeo,Nombrado por la ciudad de Venecia  Italia 
Puerto Milán,Caquetá,Origen Europeo,Por Milán  Italia 
Palermo,Huila,Origen Europeo,Por Palermo  Sicilia Italia 
Viterbo,Caldas,Origen Europeo,Por Viterbo  Italia y homenaje a delegado papal 
Amalfi,Antioquia,Origen Europeo,Por Amalfi  Italia 
Génova,Nariño,Origen Europeo,Por Génova  Italia 
Génova,Quindío,Origen Europeo,Por Génova  Italia 
Jenesano,Boyacá,Origen Europeo,Por Genazzano  Italia 
Piamonte,Cauca,Origen Europeo,Por Piamonte  Italia 
Puerto Asís,Putumayo,Origen Europeo,Por Asís  Italia 
Belén de Umbría,Risaralda,Origen Europeo,Por Umbría  Italia (región) 
Salento,Quindío,Origen Europeo,Por Salento  Italia 
Colombia,Huila,Origen Europeo,Por Cristóforo Colombo (Colón)  Italia 
Agustín Codazzi,Cesar,Origen Europeo,Por Agustín Codazzi  geógrafo italiano 
Santa María,Boyacá,Origen Religioso,En honor a la Virgen María  
Santa María,Huila,Origen Religioso,En honor a la Virgen María  
Villamaría,Caldas,Origen Religioso,En honor a la Virgen María  
María la Baja,Bolívar,Origen Religioso,En honor a la Virgen María  
El Carmen de Bolívar,Bolívar,Origen Religioso,En honor a la Virgen del Carmen  
Carmen de Apicalá,Tolima,Origen Religioso,En honor a la Virgen del Carmen  
Carmen de Carupa,Cundinamarca,Origen Religioso,En honor a la Virgen del Carmen  
El Carmen,Norte de Santander,Origen Religioso,En honor a la Virgen del Carmen  
El Carmen Viboral,Antioquia,Origen Europeo,Origen Religioso En honor a la Virgen del Carmen 
Carmen de Chucurí,Santander,Origen Religioso,En honor a la Virgen del Carmen  
Carmen de Atrato,Chocó,Origen Religioso,En honor a la Virgen del Carmen  
Carmen del Darién,Chocó,Origen Religioso,En honor a la Virgen del Carmen  
Candelaria,Valle del Cauca,Origen Religioso,En honor a la Virgen de la Candelaria  
Candelaria,Atlántico,Origen Religioso,En honor a la Virgen de la Candelaria  
Concepción,Antioquia,Origen Religioso,Por la Inmaculada Concepción (advocación mariana)  
Concepción,Santander,Origen Religioso,Por la Inmaculada Concepción (advocación mariana)  
Remedios,Antioquia,Origen Religioso,En honor a la Virgen de los Remedios  
Socorro,Santander,Origen Religioso,En honor a la Virgen del Socorro  
Purísima,Córdoba,Origen Religioso,Por la Purísima Concepción  
Guadalupe,Antioquia,Origen Religioso,En honor a la Virgen de Guadalupe  
Guadalupe,Huila,Origen Religioso,En honor a la Virgen de Guadalupe  
Guadalupe,Santander,Origen Religioso,En honor a la Virgen de Guadalupe  
Lourdes,Norte de Santander,Origen Religioso,En honor a la Virgen de Lourdes  Francia 
La Jagua del Pilar,La Guajira,Origen Religioso,En honor a la Virgen del Pilar  
Villa del Rosario,Norte de Santander,Origen Religioso,En honor a la Virgen del Rosario  
El Rosario,Nariño,Origen Religioso,En honor a la Virgen del Rosario  
Altos del Rosario,Bolívar,Origen Religioso,En honor a la Virgen del Rosario  
Santa Rosa de Osos,Antioquia,Origen Religioso,En honor a Santa Rosa de Lima  
Santa Rosa de Viterbo,Boyacá,Origen Religioso,En honor a Santa Rosa de Viterbo  Italia 
Santa Rosa de Cabal,Risaralda,Origen Religioso,En honor a Santa Rosa de Lima y prócer José María Cabal  
Santa Rosa,Cauca,Origen Religioso,En honor a Santa Rosa de Lima  
Santa Rosa,Bolívar,Origen Religioso,En honor a Santa Rosa de Lima  
Santa Rosa del Sur,Bolívar,Origen Religioso,En honor a Santa Rosa de Lima  
Santa Bárbara,Antioquia,Origen Religioso,En honor a Santa Bárbara  
Santa Bárbara,Santander,Origen Religioso,En honor a Santa Bárbara  
Santa Bárbara,Magdalena,Origen Religioso,En honor a Santa Bárbara  
Santa Bárbara,Nariño,Origen Religioso,En honor a Santa Bárbara  
Santa Helena del Opón,Santander,Origen Religioso,En honor a Santa Helena de Constantinopla  
Santa Marta,Magdalena,Origen Religioso,En honor a Santa Marta de Betania  
Santa Catalina,Bolívar,Origen Religioso,En honor a Santa Catalina de Alejandría  
Santa Isabel,Tolima,Origen Religioso,En honor a Santa Isabel (Hungría)  
Santa Lucía,Atlántico,Origen Religioso,En honor a Santa Lucía  
Santa Rosalía,Vichada,Origen Religioso,En honor a Santa Rosalía de Sicilia  
Santa Sofía,Boyacá,Origen Religioso,Nombrado en honor a la esposa de Rafael Reyes y alude a santa Sofía  
