,Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud,helper,Tipo de Nombre,Significado
0,05,ANTIOQUIA,05001,MEDELLÍN,Municipio,"-75,581775","6,246631",ANTIOQUIAMEDELLÍN,Origen Indigena,Nombre colonial en territorio indígena ancestral
1,05,ANTIOQUIA,05002,ABEJORRAL,Municipio,"-75,428739","5,789315",ANTIOQUIAABEJORRAL,Origen Natural,Nombrado por los abejorros que atacaron a los primeros colonos
2,05,ANTIOQUIA,05004,ABRIAQUÍ,Municipio,"-76,064304","6,632282",ANTIOQUIAABRIAQUÍ,Origen Indigena,"Del embera ""abra-kí"": tierra entre montañas o ""madre del río"""
3,05,ANTIOQUIA,05021,ALEJANDRÍA,Municipio,"-75,141346","6,376061",ANTIOQUIAALEJANDRÍA,Origen Europeo,Por Alejandría  Egipto 
4,05,ANTIOQUIA,05030,AMAGÁ,Municipio,"-75,702188","6,038708",ANTIOQUIAAMAGÁ,Origen Indigena,"Nombre posiblemente derivado de Omogá, un poblado cercano de indígenas nutabes"
5,05,ANTIOQUIA,05031,AMALFI,Municipio,"-75,077501","6,909655",ANTIOQUIAAMALFI,Origen Europeo,Por Amalfi  Italia 
6,05,ANTIOQUIA,05034,ANDES,Municipio,"-75,878828","5,657194",ANTIOQUIAANDES,Origen Religioso,En honor a la Virgen de las Mercedes  
7,05,ANTIOQUIA,05036,ANGELÓPOLIS,Municipio,"-75,711389","6,109719",ANTIOQUIAANGELÓPOLIS,Origen Europeo,"Inspiración griega (""polis"" ciudad de ángeles) propuesta por sacerdote fundador"
8,05,ANTIOQUIA,05038,ANGOSTURA,Municipio,"-75,335116","6,885175",ANTIOQUIAANGOSTURA,Origen Natural,Por paso estrecho de quebrada y por el Congreso de Angostura en Venezuela
9,05,ANTIOQUIA,05040,ANORÍ,Municipio,"-75,148355","7,074703",ANTIOQUIAANORÍ,Origen Indigena,Lugares de tierras ocupadas por el cacique Norí
10,05,ANTIOQUIA,05042,SANTA FÉ DE ANTIOQUIA,Municipio,"-75,826648","6,556484",ANTIOQUIASANTA FÉ DE ANTIOQUIA,Origen Religioso,Por la fe cristiana y advocación católica tradicional
11,05,ANTIOQUIA,05044,ANZÁ,Municipio,"-75,854442","6,302641",ANTIOQUIAANZÁ,Origen Indigena,"Del embera ""anzá"" que significa ""amarillo"" o ""gran valle"""
12,05,ANTIOQUIA,05045,APARTADÓ,Municipio,"-76,625279","7,882968",ANTIOQUIAAPARTADÓ,Origen Indigena,"Nombre indígena; significa 'puerto de bananos', en lengua embera"
13,05,ANTIOQUIA,05051,ARBOLETES,Municipio,"-76,426708","8,849317",ANTIOQUIAARBOLETES,0,
14,05,ANTIOQUIA,05055,ARGELIA,Municipio,"-75,14107","5,731474",ANTIOQUIAARGELIA,Origen Europeo,Por Argelia  país del norte de África 
15,05,ANTIOQUIA,05059,ARMENIA,Municipio,"-75,786647","6,155667",ANTIOQUIAARMENIA,Origen Europeo,Homenaje al país Armenia y a la masacre armenia  
16,05,ANTIOQUIA,05079,BARBOSA,Municipio,"-75,331627","6,439195",ANTIOQUIABARBOSA,Origen por nombre de una persona,Por Diego Fernández Barbosa hacendado colonial
17,05,ANTIOQUIA,05086,BELMIRA,Municipio,"-75,667779","6,606319",ANTIOQUIABELMIRA,Origen Europeo,"Alusión a la belleza del lugar de ""bella mira"" en español antiguo."
18,05,ANTIOQUIA,05088,BELLO,Municipio,"-75,555245","6,333587",ANTIOQUIABELLO,Origen por nombre de una persona,Por Andrés Bello humanista y poeta venezolano-chileno
19,05,ANTIOQUIA,05091,BETANIA,Municipio,"-75,97679","5,74615",ANTIOQUIABETANIA,Origen Religioso,Por el pueblo bíblico Betania  
20,05,ANTIOQUIA,05093,BETULIA,Municipio,"-75,984452","6,115208",ANTIOQUIABETULIA,Origen Religioso,Por ciudad bíblica de Betulia  
21,05,ANTIOQUIA,05101,CIUDAD BOLÍVAR,Municipio,"-76,021509","5,850273",ANTIOQUIACIUDAD BOLÍVAR,Origen por nombre de una persona,En honor a Simón Bolívar Libertador.
22,05,ANTIOQUIA,05107,BRICEÑO,Municipio,"-75,55036","7,112803",ANTIOQUIABRICEÑO,Origen por nombre de una persona,Por Manuel Briceño Fernández general conservador
23,05,ANTIOQUIA,05113,BURITICÁ,Municipio,"-75,907","6,720759",ANTIOQUIABURITICÁ,Origen Indigena,"Nombre del cacique Buriticá, intentó suicidarse para evitar captura española"
24,05,ANTIOQUIA,05120,CÁCERES,Municipio,"-75,35205","7,578366",ANTIOQUIACÁCERES,Origen Europeo,Por Cáceres en Extremadura  España 
25,05,ANTIOQUIA,05125,CAICEDO,Municipio,"-75,98293","6,405607",ANTIOQUIACAICEDO,Origen por nombre de una persona,Por José María Torres Caicedo intelectual y diplomático
26,05,ANTIOQUIA,05129,CALDAS,Municipio,"-75,633673","6,091077",ANTIOQUIACALDAS,Origen Religioso,En honor a la Virgen de las Mercedes  
27,05,ANTIOQUIA,05134,CAMPAMENTO,Municipio,"-75,298091","6,979771",ANTIOQUIACAMPAMENTO,Origen Natural,Por ser lugar de campamento en época de la colonización.
28,05,ANTIOQUIA,05138,CAÑASGORDAS,Municipio,"-76,028228","6,753859",ANTIOQUIACAÑASGORDAS,Origen Natural,Por la abundancia de cañas gordas (guaduales)
29,05,ANTIOQUIA,05142,CARACOLÍ,Municipio,"-74,757421","6,409829",ANTIOQUIACARACOLÍ,Origen Natural,Por el árbol caracolí (Anacardium excelsum)
30,05,ANTIOQUIA,05145,CARAMANTA,Municipio,"-75,643868","5,54853",ANTIOQUIACARAMANTA,Origen Indigena,"Nombre indígena, paraje en límites de departamentos"
31,05,ANTIOQUIA,05147,CAREPA,Municipio,"-76,652652","7,755148",ANTIOQUIACAREPA,Origen Indigena,Significa 'papagayo' en lengua indígena embera
32,05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,Municipio,"-75,333901","6,082885",ANTIOQUIAEL CARMEN DE VIBORAL,Origen Indigena,Nombre religioso; zona con antecedente indígena
33,05,ANTIOQUIA,05150,CAROLINA,Municipio,"-75,283192","6,725995",ANTIOQUIACAROLINA,Origen por nombre de una persona,Por Príncipe de Asturias Carlos IV
34,05,ANTIOQUIA,05154,CAUCASIA,Municipio,"-75,197996","7,977278",ANTIOQUIACAUCASIA,Origen Indigena,"Nombre indígena del río cercano, de origen embera"
35,05,ANTIOQUIA,05172,CHIGORODÓ,Municipio,"-76,681531","7,666147",ANTIOQUIACHIGORODÓ,Origen Indigena,"Municipio ubicado junto al río Atrato, en zona de lenguas indígenas embera"
36,05,ANTIOQUIA,05190,CISNEROS,Municipio,"-75,087047","6,537829",ANTIOQUIACISNEROS,Origen por nombre de una persona,Por Francisco Javier Cisneros ingeniero ferroviario
37,05,ANTIOQUIA,05197,COCORNÁ,Municipio,"-75,185483","6,058295",ANTIOQUIACOCORNÁ,Origen Indigena,"Nombre indígena derivado de un cacique local, posiblemente embera"
